name,year,genre,url,video_id,sanitized_name
Sabrina,1954,romance,www.youtube.com/watch?v=bnU2dWMGpMA,xYgoNiSo-kY,Sabrina
The Last Time I Saw Paris,1954,romance,www.youtube.com/watch?v=UdPV5tSmO1M,UdPV5tSmO1M,The Last Time I Saw Paris
A Letter to Three Wives,1949,romance,www.youtube.com/watch?v=ZwhNFVTelMo,ZwhNFVTelMo,A Letter to Three Wives
Arch of Triumph,1948,romance,www.youtube.com/watch?v=cuHm3RCZF4o,cuHm3RCZF4o,Arch of Triumph
September Affair,1950,romance,www.youtube.com/watch?v=OmXX80pTCCw,OmXX80pTCCw,September Affair
Too Many Husbands,1954,romance,www.youtube.com/watch?v=Jn0YTKCndLc,Jn0YTKCndLc,Too Many Husbands
The Last Time I Saw Paris,1954,romance,www.youtube.com/watch?v=UdPV5tSmO1M,UdPV5tSmO1M,The Last Time I Saw Paris
Magic Town,1947,romance,www.youtube.com/watch?v=liMwhCnJf8U,liMwhCnJf8U,Magic Town
Tonight and Every Night,1945,romance,www.youtube.com/watch?v=simDMIU1qVo,simDMIU1qVo,Tonight and Every Night
I Can Get It For You Wholesale,1951,romance,www.youtube.com/watch?v=13eJdf1xVmE,13eJdf1xVmE,I Can Get It For You Wholesale
The Million Pound Note,1954,comedy,www.youtube.com/watch?v=gyePJXDB-uQ,gyePJXDB-uQ,The Million Pound Note
The Caddy,1953,comedy,www.youtube.com/watch?v=Dn8rJyLBY8c,Dn8rJyLBY8c,The Caddy
You're Never Too Young,1955,comedy,www.youtube.com/watch?v=DYUF2hqhP3w,DYUF2hqhP3w,You're Never Too Young
Road to Bali,1952,comedy,www.youtube.com/watch?v=9WNBYmHvNn0,9WNBYmHvNn0,Road to Bali
Sitting Pretty,1948,comedy,www.youtube.com/watch?v=kgcNdOHZW6I,kgcNdOHZW6I,Sitting Pretty
Sorrowful Jones,1949,comedy,www.youtube.com/watch?v=f8IZGi_SSjc,f8IZGi_SSjc,Sorrowful Jones
Monkey Business,1952,comedy,www.youtube.com/watch?v=_31eW3AnakE,_31eW3AnakE,Monkey Business
The Jackpot,1950,comedy,www.youtube.com/watch?v=QXoA6dFroxg,QXoA6dFroxg,The Jackpot
Gentlemen Prefer Blondes,1953,comedy,www.youtube.com/watch?v=WYVri7M6Ji8,WYVri7M6Ji8,Gentlemen Prefer Blondes
Father's Little Dividend,1951,comedy,www.youtube.com/watch?v=YM6598Z-tGQ,YM6598Z-tGQ,Father's Little Dividend
Stalag 17,1953,drama,www.youtube.com/watch?v=njcqwleu9kc,njcqwleu9kc,Stalag 17
The Razor's Edge,1946,drama,www.youtube.com/watch?v=aQ26TUBqJAE,aQ26TUBqJAE,The Razor's Edge
All My Sons,1948,drama,www.youtube.com/watch?v=qpYPbrRoQbU,qpYPbrRoQbU,All My Sons
House of Strangers,1949,drama,www.youtube.com/watch?v=dr6Pr6S9eyA,dr6Pr6S9eyA,House of Strangers
Sentimental Journey,1946,drama,www.youtube.com/watch?v=8NrEBj787Xk,8NrEBj787Xk,Sentimental Journey
Rope of Sand,1949,adventure,www.youtube.com/watch?v=ykiYahAJBsQ,ykiYahAJBsQ,Rope of Sand
Captain Pirate,1952,adventure,www.youtube.com/watch?v=sGc9GrBJ6Qo,sGc9GrBJ6Qo,Captain Pirate
Captain Kidd,1945,adventure,www.youtube.com/watch?v=mu1UipmP5FI,mu1UipmP5FI,Captain Kidd
Wake of the Red Witch,1948,adventure,/www.youtube.com/watch?v=jmCePJPvPbk,jmCePJPvPbk,Wake of the Red Witch
The Big Cat,1949,adventure,www.youtube.com/watch?v=WlQ3M-T1EuU,WlQ3M-T1EuU,The Big Cat
Beneath the 12-Mile Reef,1953,adventure,www.youtube.com/watch?v=A577UAwKytg,A577UAwKytg,Beneath the 12-Mile Reef
Prince of Foxes,1949,adventure,www.youtube.com/watch?v=kJILFPyczNo,kJILFPyczNo,Prince of Foxes
The Fortunes of Captain Blood,1950,adventure,www.youtube.com/watch?v=2o4qn2F3M14,2o4qn2F3M14,The Fortunes of Captain Blood
Secret of the Incas,1954,adventure,www.youtube.com/watch?v=vjE1vKnt5Mo,vjE1vKnt5Mo,Secret of the Incas
The Upturned Glass,1947,psychological-thriller,www.youtube.com/watch?v=9vZht4OKtwQ,9vZht4OKtwQ,The Upturned Glass
The Lost Moment,1947,psychological-thriller,www.youtube.com/watch?v=YP2gId2xO-Q,YP2gId2xO-Q,The Lost Moment
The Spiral Staircase,1946,psychological-thriller,www.youtube.com/watch?v=Y4iV-7lY5qY,Y4iV-7lY5qY,The Spiral Staircase
