filename,url,outcome,log_message,language,video_quality,file_type,file_size
Sabrina_1954,www.youtube.com/watch?v=xYgoNiSo-kY,success,Instantiated YouTube object for www.youtube.com/watch?v=xYgoNiSo-kY | Found 2 streams for www.youtube.com/watch?v=xYgoNiSo-kY | Download completed successfully for Sabrina_1954.mp4,en,720p,mp4,59.96 MB
The_Last_Time_I_Saw_Paris_1954,www.youtube.com/watch?v=UdPV5tSmO1M,success,Instantiated YouTube object for www.youtube.com/watch?v=UdPV5tSmO1M | Found 2 streams for www.youtube.com/watch?v=UdPV5tSmO1M | Download completed successfully for The_Last_Time_I_Saw_Paris_1954.mp4,en,360p,mp4,391.20 MB
A_Letter_to_Three_Wives_1949,www.youtube.com/watch?v=ZwhNFVTelMo,success,Instantiated YouTube object for www.youtube.com/watch?v=ZwhNFVTelMo | Found 2 streams for www.youtube.com/watch?v=ZwhNFVTelMo | Download completed successfully for A_Letter_to_Three_Wives_1949.mp4,en,720p,mp4,484.18 MB
Arch_of_Triumph_1948,www.youtube.com/watch?v=cuHm3RCZF4o,success,Instantiated YouTube object for www.youtube.com/watch?v=cuHm3RCZF4o | Found 2 streams for www.youtube.com/watch?v=cuHm3RCZF4o | Download completed successfully for Arch_of_Triumph_1948.mp4,en,720p,mp4,422.64 MB
September_Affair_1950,www.youtube.com/watch?v=OmXX80pTCCw,success,Instantiated YouTube object for www.youtube.com/watch?v=OmXX80pTCCw | Found 1 streams for www.youtube.com/watch?v=OmXX80pTCCw | Download completed successfully for September_Affair_1950.mp4,en,360p,mp4,325.23 MB
Too_Many_Husbands_1954,www.youtube.com/watch?v=Jn0YTKCndLc,success,Instantiated YouTube object for www.youtube.com/watch?v=Jn0YTKCndLc | Found 2 streams for www.youtube.com/watch?v=Jn0YTKCndLc | Download completed successfully for Too_Many_Husbands_1954.mp4,en,360p,mp4,254.51 MB
The_Last_Time_I_Saw_Paris_1954,www.youtube.com/watch?v=UdPV5tSmO1M,skipped,"File with base name 'The_Last_Time_I_Saw_Paris_1954' already exists and is valid in ../data/videos/romance, skipping download.",,,,
Magic_Town_1947,www.youtube.com/watch?v=liMwhCnJf8U,success,Instantiated YouTube object for www.youtube.com/watch?v=liMwhCnJf8U | Found 1 streams for www.youtube.com/watch?v=liMwhCnJf8U | Download completed successfully for Magic_Town_1947.mp4,en,360p,mp4,296.09 MB
Tonight_and_Every_Night_1945,www.youtube.com/watch?v=simDMIU1qVo,success,Instantiated YouTube object for www.youtube.com/watch?v=simDMIU1qVo | Found 2 streams for www.youtube.com/watch?v=simDMIU1qVo | Download completed successfully for Tonight_and_Every_Night_1945.mp4,en,720p,mp4,283.59 MB
I_Can_Get_It_For_You_Wholesale_1951,www.youtube.com/watch?v=13eJdf1xVmE,success,Instantiated YouTube object for www.youtube.com/watch?v=13eJdf1xVmE | Found 1 streams for www.youtube.com/watch?v=13eJdf1xVmE | Download completed successfully for I_Can_Get_It_For_You_Wholesale_1951.mp4,en,360p,mp4,180.62 MB
The_Million_Pound_Note_1954,www.youtube.com/watch?v=gyePJXDB-uQ,success,Instantiated YouTube object for www.youtube.com/watch?v=gyePJXDB-uQ | Found 2 streams for www.youtube.com/watch?v=gyePJXDB-uQ | Download completed successfully for The_Million_Pound_Note_1954.mp4,en,720p,mp4,321.01 MB
The_Caddy_1953,www.youtube.com/watch?v=Dn8rJyLBY8c,success,Instantiated YouTube object for www.youtube.com/watch?v=Dn8rJyLBY8c | Found 2 streams for www.youtube.com/watch?v=Dn8rJyLBY8c | Download completed successfully for The_Caddy_1953.mp4,en,360p,mp4,327.78 MB
You're_Never_Too_Young_1955,www.youtube.com/watch?v=DYUF2hqhP3w,success,Instantiated YouTube object for www.youtube.com/watch?v=DYUF2hqhP3w | Found 1 streams for www.youtube.com/watch?v=DYUF2hqhP3w | Download completed successfully for You're_Never_Too_Young_1955.mp4,en,360p,mp4,353.12 MB
Road_to_Bali_1952,www.youtube.com/watch?v=9WNBYmHvNn0,success,Instantiated YouTube object for www.youtube.com/watch?v=9WNBYmHvNn0 | Found 2 streams for www.youtube.com/watch?v=9WNBYmHvNn0 | Download completed successfully for Road_to_Bali_1952.mp4,en,360p,mp4,238.19 MB
Sitting_Pretty_1948,www.youtube.com/watch?v=kgcNdOHZW6I,success,Instantiated YouTube object for www.youtube.com/watch?v=kgcNdOHZW6I | Found 2 streams for www.youtube.com/watch?v=kgcNdOHZW6I | Download completed successfully for Sitting_Pretty_1948.mp4,en,720p,mp4,369.80 MB
Sorrowful_Jones_1949,www.youtube.com/watch?v=f8IZGi_SSjc,success,Instantiated YouTube object for www.youtube.com/watch?v=f8IZGi_SSjc | Found 2 streams for www.youtube.com/watch?v=f8IZGi_SSjc | Download completed successfully for Sorrowful_Jones_1949.mp4,en,720p,mp4,326.98 MB
Monkey_Business_1952,www.youtube.com/watch?v=_31eW3AnakE,success,Instantiated YouTube object for www.youtube.com/watch?v=_31eW3AnakE | Found 1 streams for www.youtube.com/watch?v=_31eW3AnakE | Download completed successfully for Monkey_Business_1952.mp4,en,360p,mp4,201.77 MB
The_Jackpot_1950,www.youtube.com/watch?v=QXoA6dFroxg,success,Instantiated YouTube object for www.youtube.com/watch?v=QXoA6dFroxg | Found 2 streams for www.youtube.com/watch?v=QXoA6dFroxg | Download completed successfully for The_Jackpot_1950.mp4,en,360p,mp4,218.79 MB
Gentlemen_Prefer_Blondes_1953,www.youtube.com/watch?v=WYVri7M6Ji8,success,Instantiated YouTube object for www.youtube.com/watch?v=WYVri7M6Ji8 | Found 1 streams for www.youtube.com/watch?v=WYVri7M6Ji8 | Download completed successfully for Gentlemen_Prefer_Blondes_1953.mp4,en,360p,mp4,176.77 MB
Father's_Little_Dividend_1951,www.youtube.com/watch?v=YM6598Z-tGQ,success,Instantiated YouTube object for www.youtube.com/watch?v=YM6598Z-tGQ | Found 2 streams for www.youtube.com/watch?v=YM6598Z-tGQ | Download completed successfully for Father's_Little_Dividend_1951.mp4,en,360p,mp4,269.12 MB
